Tipologia;Ragione_sociale;Comune;Provincia;Indirizzo;CAP;Telefono;Email;Sito_Web;Dipendenti;Data_convenzione;Settore;Codice_ATECO;Descrizione
AZIENDA;16 TELEFONIA SAS;VERONA;VR;VIA MANTOVANA 91/C;37100;0456930482;16telefonia@gmail.com;;1;;INFORMATICA;;
AZIENDA;2M SAS DI MARCHESINI P E C;VERONA;VR;VIA CAOVILLA 8;37100;045942329;2msas@libero.it;;3;;COSTRUZIONE DEL MEZZO;43.22.01;Installazione di impianti idraulici, di riscaldamento e di condizionamento dell'aria (inclusa manute
AZIENDA;3102 SRL;VERONA;VR;VIA ISONZO,11;37126;3496616186;marcello.fiori@3102.it;;;null;INFORMATICA;;
AZIENDA;3C ELABORAZIONE DATI S.R.L.;SAN GIOVANNI LUPATOTO;VR;PIAZZA CARLO ZINELLI, 1;37057;0458221069;orietta.antoniazzi@3ced.org;;20;;INFORMATICA;;
AZIENDA;4 FLYING SRL;ZEVIO;VR;VIA EDISON 6;37059;0458731908;amministrazione@4-flying.com;http://www.4-flying.com/;;;INFORMATICA;18.13.00;Lavorazioni preliminari alla stampa e ai media
AZIENDA;4 SERVICE SOLUTION SRL;AFFI;VR;VIA GIOVANNI PASCOLI 4;37010;0452050220;amministrazione@4servicesolution.it;www.4servicesolution.it;9;16-05-2019;INFORMATICA;62.01;Produzione di software non connesso all'edizione
AZIENDA;6 COM SRL;SAN GIOVANNI LUPATOTO;VR;VIA MONTE PASTELLO 9;37057;045 8751430;info@6comsrl.it;;12;06-05-2019;ELETTRONICA;93.29.3;Sale giochi e biliardi
AZIENDA;A VARITT SRL;EMPOLI;FI;VIA DELLA PIOVOLA ,138;50053;3485991723;;www.varitt.it;;06-04-2019;TELECOMUNICAZIONI;61.90.1;Erogazione di servizi di accesso ad internet (ISP)
AZIENDA;A.A. AUTOMATISMI ANTIFURTI SRL;SAN MARTINO BUON ALBERGO;VR;VIA ADAMELLO 12/B;37036;045992338;info@aaverona.it;http://www.aaverona.it;2;;COSTRUZIONE DEL MEZZO;46.47.3;Commercio all'ingrosso di articoli per l'illuminazione  materiale elettrico vario per uso domestico
AZIENDA;A.A.T.C. AND CO S.R.L.;SANT'AMBROGIO DI VALPOLICELLA;VR;VIA NAPOLEONE, 8;37015;0456861627;contabilita@aatc.it;WWW.AATC.IT;;;LOGISTICA;;
AZIENDA;A.ESSE IMPIANTI S.R.L.;SOMMACAMPAGNA;VR;VIA STELLA POLARE,16;37066;0458619000;info@aesseimpianti.it;www.aesseimpianti.it;;;ELETTRONICA;;
AZIENDA;AGEC AZIENDA GESTIONE EDIFICI COMUNALI DEL COMUNE DI VERONA;VERONA;VR;VIA ENRICO NORIS 1;37100;0458051311;sezionepersonale@agec.it;;505;15-05-2019;;56.29.10;Mense
ASSOCIAZIONE;A.P.S. CUCINAVERARTE;VERONA;VR;STRADA LA RIZZA, 651B;37125;3476772161;nicola.casadei@cucinaverarte.eu;;;;INFORMATICA;;
AZIENDA;A.R. ELETTRONIC SAS DI RENON A. & C;BUSSOLENGO;VR;VIA DELL'INDUSTRIA,212;37012;0456703881;a.anna@arelettronic.com;www.arelectronic.com;;;ELETTRONICA;;
AZIENDA;A.T.E. SRL;VIGASIO;VR;VIA DELL' INDUSTRIA, 2;37068;0457364500;ate@ate-srl.com;;65;;LOGISTICA;222999;
AZIENDA;A.T.M. SAS DI AIANI CLAUDIO & C.;AFFI;VR;VIA CA'BALOTTA,1;37010;0457280255;info@atmsas.com;;10;;ELETTRONICA;25.11.00;Fabbricazione di strutture metalliche e parti assemblate di strutture
AZIENDA;ABATEL SNC;VERONA;VR;VIA ARNO 2;37137;045862071;stevanoloris@abatel.it;http://www.abatel.it/;2;;TELECOMUNICAZIONI;46.43.10;Commercio all'ingrosso di elettrodomestici, di elettronica di consumo audio e video
AZIENDA;ABC...STUDI SRL;VERONA;VR;VIA PONTE FLORIO 70/D;37100;0458868129;LPOLLINI@ABCSTUDI.COM;WWW.ABCSTUDI.COM;5;;ELETTRONICA;;
AZIENDA;ABERFOND SRL;VERONA;VR;VIA PACINOTTI 34;37135;045500508;rita@aberfond.com;aberfond.com;15;;INFORMATICA;;
AZIENDA;ABISIT SRL;VERONA;VR;L. SETTEMBRINI 8;37100;0458005608;info@absit.it;www.absit.it;4;;INFORMATICA;;
AZIENDA;ABRASIVI ADRIA SRL;SANT'AMBROGIO DI VALPOLICELLA;VR;VIA DELL'INDUSTRIA,63;37015;0456864601;info@abrasiviadria.com;www.abrasiviadria.com;85;03-04-2018;LOGISTICA;20.59.4;Fabbricazione di prodotti chimici vari per uso industriale (inclusi i preparati antidetonanti e anti
